N,P,K,pH,EC,Temperature,Humidity,Rainfall,Elevation,Soil_Type,Zone,Water_Source,Target_Crop,Yield_MT_per_HA
74.68,76.05,42.57,6.56,2.2,32.19,73.98,1378.76,102.76,Non-Calcic Brown,Dry,1,Paddy (Samba),6.022
67.22,6.9,43.26,7.17,2.93,30.34,68.83,852.85,81.69,Alluvial,Dry,0,Kurakkan,1.556
19.4,35.39,126.88,7.18,2.49,29.91,72.86,812.87,35.33,Latosols,Dry,0,Kurakkan,1.731
145.48,5.39,30.26,5.28,1.01,32.82,56.16,1104.38,245.73,Red Básico,Dry,0,Maize,6.401
136.47,53.5,174.83,4.04,3.94,33.13,66.47,1364.59,207.68,Non-Calcic Brown,Dry,1,Paddy (Samba),6.158
113.3,44.01,109.57,7.92,2.98,33.07,57.88,845.75,161.85,Red Básico,Dry,0,Kurakkan,1.188
10.72,66.5,61.01,8.07,3.64,33.27,72.02,911.02,261.55,Alluvial,Dry,1,Paddy (Samba),4.376
49.67,6.38,110.9,7.75,1.39,32.42,65.85,981.86,162.0,Alluvial,Dry,1,Maize,7.198
83.78,66.94,78.1,7.75,3.56,31.12,74.93,991.54,127.85,Red Básico,Dry,1,Maize,8.92
54.9,59.33,187.73,4.74,1.94,30.94,59.94,1246.97,82.26,Alluvial,Dry,1,Paddy (Nadu),8.092
80.68,45.75,130.93,6.56,3.3,33.09,60.64,1319.89,103.78,Latosols,Dry,1,Paddy (Samba),7.738
115.34,11.79,75.73,4.31,3.98,32.6,51.21,1499.59,293.15,Red Básico,Dry,0,Chilli,4.577
95.38,47.26,98.2,6.38,2.89,33.72,63.61,884.15,1.73,Alluvial,Dry,0,Kurakkan,1.29
139.78,9.52,233.94,5.45,1.73,33.76,72.42,1101.6,21.38,Alluvial,Dry,0,Chilli,5.017
35.36,56.08,49.45,6.27,1.37,28.63,60.0,1302.35,293.02,Non-Calcic Brown,Dry,0,Maize,8.62
66.6,37.11,180.81,7.05,3.09,32.42,53.54,840.92,82.36,Alluvial,Dry,0,Kurakkan,2.722
12.8,60.29,193.31,4.95,3.92,32.65,73.18,1356.81,70.39,Latosols,Dry,0,Chilli,4.115
52.46,12.58,174.58,4.09,1.36,32.34,60.76,1008.15,51.2,Red Básico,Dry,1,Maize,6.001
27.01,19.81,222.3,6.84,1.72,30.63,59.72,1185.06,49.11,Latosols,Dry,0,Maize,6.445
86.3,78.85,234.66,4.0,1.53,34.85,63.95,1323.73,54.18,Latosols,Dry,0,Chilli,5.489
72.81,59.16,222.12,6.59,2.1,5.0,110.0,1389.38,150.62,Non-Calcic Brown,Dry,1,Paddy (Nadu),6.234
70.76,11.65,59.05,6.61,1.98,29.47,63.01,1377.59,112.04,Non-Calcic Brown,Dry,1,Maize,5.505
35.83,32.17,86.96,3.92,2.76,32.8,68.68,1493.79,222.0,Non-Calcic Brown,Dry,0,Green Gram,2.372
33.21,75.93,213.24,6.94,2.45,33.54,65.32,1184.19,67.84,Non-Calcic Brown,Dry,0,Chilli,3.609
24.77,54.26,206.42,5.59,2.49,31.87,58.59,865.91,84.73,Non-Calcic Brown,Dry,0,Kurakkan,2.197
72.66,46.84,45.68,6.68,2.56,32.44,59.9,1358.54,274.53,Latosols,Dry,0,Green Gram,1.438
63.06,78.01,87.53,5.19,1.63,28.09,63.18,1191.83,215.81,Non-Calcic Brown,Dry,0,Chilli,3.847
22.21,58.93,107.93,8.06,1.34,31.46,58.38,1379.77,52.13,Red Básico,Dry,0,Maize,7.482
19.57,24.75,16.3,6.47,1.36,33.81,71.82,997.06,33.77,Non-Calcic Brown,Dry,0,Kurakkan,1.486
21.06,22.96,199.67,3.96,1.56,34.14,58.26,1414.08,102.12,Latosols,Dry,0,Maize,7.843
120.15,77.81,69.36,5.08,1.7,32.14,55.94,1291.84,153.71,Latosols,Dry,1,Maize,5.162
136.04,35.32,83.66,7.32,2.65,30.69,59.23,1119.37,36.31,Latosols,Dry,0,Chilli,3.608
126.06,79.34,205.9,7.07,2.59,32.29,68.1,1411.59,36.17,Non-Calcic Brown,Dry,1,Maize,11.447
73.56,56.62,39.44,6.08,3.96,28.71,63.28,1393.0,252.52,Latosols,Dry,0,Cashew,0.627
119.53,60.09,78.62,5.33,1.62,32.06,61.1,897.44,187.87,Alluvial,Dry,0,Kurakkan,1.646
28.29,64.29,35.58,7.53,3.61,28.93,64.98,1215.11,106.04,Alluvial,Dry,1,Paddy (Nadu),6.996
94.81,73.91,93.76,7.21,2.32,32.12,57.14,1062.73,60.97,Latosols,Dry,1,Paddy (Nadu),8.213
111.24,26.03,173.41,3.92,2.2,32.61,71.15,1336.28,184.08,Latosols,Dry,1,Maize,9.338
27.21,71.65,128.26,5.91,2.94,31.84,50.84,953.49,64.39,Alluvial,Dry,1,Paddy (Samba),6.475
54.28,12.64,93.26,5.07,3.22,34.27,61.67,1208.29,102.11,Latosols,Dry,0,Maize,8.877
59.71,57.37,101.83,8.28,3.2,28.51,74.53,1235.64,57.03,Alluvial,Dry,0,Chilli,3.977
119.82,33.27,140.24,7.58,3.51,29.14,69.29,1195.56,149.67,Red Básico,Dry,1,Paddy (Nadu),7.515
143.68,42.1,130.62,6.06,3.97,31.37,52.96,1263.7,86.67,Latosols,Dry,0,Maize,10.431
47.64,52.13,123.06,5.5,2.55,28.55,67.73,1181.15,50.2,Alluvial,Dry,1,Maize,7.418
64.21,72.99,8.94,7.48,2.52,31.93,62.41,1462.96,114.16,Alluvial,Dry,1,Maize,6.242
26.59,77.11,180.03,8.28,2.45,31.83,51.29,1476.92,151.44,Alluvial,Dry,1,Maize,8.038
20.58,76.36,77.84,4.23,1.23,32.41,67.24,1184.72,43.18,Alluvial,Dry,1,Maize,5.214
111.6,51.29,186.16,4.81,1.66,50.0,56.33,1208.05,135.08,Red Básico,Dry,0,Chilli,4.676
131.13,73.64,215.66,3.96,2.0,28.48,73.02,1059.78,175.33,Red Básico,Dry,0,Maize,9.55
38.15,49.27,104.87,6.01,2.8,34.55,70.62,844.8,87.71,Alluvial,Dry,1,Paddy (Mawel),5.584
42.14,13.82,45.49,3.81,3.08,28.09,61.48,1007.16,123.33,Latosols,Dry,0,Chilli,3.29
95.09,23.4,19.14,5.64,2.56,34.17,65.87,885.05,174.64,Non-Calcic Brown,Dry,1,Maize,8.884
131.87,52.36,135.46,4.34,2.24,32.75,68.84,1088.31,61.1,Non-Calcic Brown,Dry,1,Paddy (Nadu),9.196
134.66,61.25,227.52,7.37,1.58,28.1,67.83,945.07,115.99,Latosols,Dry,1,Maize,9.231
36.73,57.1,58.59,6.6,1.81,31.73,68.71,1245.73,67.51,Non-Calcic Brown,Dry,0,Chilli,3.694
133.09,23.25,141.55,3.98,1.1,33.23,55.43,905.43,139.2,Non-Calcic Brown,Dry,1,Paddy (Samba),7.184
149.84,29.5,188.31,2.0,1.28,28.66,70.32,1323.6,212.05,Non-Calcic Brown,Dry,1,Paddy (Samba),6.368
89.73,70.13,97.89,5.55,2.74,34.93,61.06,1329.71,212.22,Alluvial,Dry,0,Green Gram,2.151
141.84,17.55,127.59,7.05,2.12,31.53,70.82,1464.44,108.73,Non-Calcic Brown,Dry,1,Maize,9.556
119.07,50.73,176.41,7.74,1.06,28.3,61.32,1205.81,284.62,Non-Calcic Brown,Dry,0,Chilli,5.661
14.44,36.75,25.72,6.65,1.16,32.5,68.51,854.99,28.47,Alluvial,Dry,1,Paddy (Mawel),6.063
39.47,65.68,41.0,5.41,1.19,28.14,59.14,1378.63,106.11,Red Básico,Dry,0,Maize,8.733
78.3,11.17,117.6,5.24,1.82,31.35,57.59,1346.39,93.51,Latosols,Dry,0,Green Gram,1.583
134.53,32.86,52.82,6.1,3.97,32.65,51.12,939.47,37.91,Red Básico,Dry,1,Paddy (Nadu),7.068
81.42,60.22,130.66,7.89,3.45,31.18,53.15,1333.71,58.93,Red Básico,Dry,0,Chilli,3.925
90.73,46.91,95.94,7.49,2.81,29.95,54.57,953.1,247.71,Non-Calcic Brown,Dry,0,Kurakkan,1.943
46.85,5.05,218.31,7.53,1.75,34.92,56.32,817.67,156.02,Latosols,Dry,0,Kurakkan,2.08
107.39,50.81,53.96,4.06,3.77,28.35,52.79,1307.22,182.5,Latosols,Dry,0,Maize,8.24
74.73,69.87,66.12,7.17,3.35,32.05,70.44,1433.05,227.11,Latosols,Dry,1,Maize,6.606
56.5,74.61,211.99,4.85,2.86,28.23,60.19,1132.92,48.37,Latosols,Dry,0,Cashew,1.184
11.13,75.74,63.1,4.31,2.97,32.74,68.29,1099.92,247.34,Red Básico,Dry,0,Green Gram,1.83
148.38,78.3,199.49,6.9,1.47,28.57,74.74,824.46,9.01,Red Básico,Dry,0,Kurakkan,2.485
49.05,14.69,29.39,6.64,2.29,30.31,71.26,1194.96,60.46,Red Básico,Dry,0,Maize,8.351
101.06,20.93,34.89,7.1,1.75,32.85,65.63,963.33,224.12,Non-Calcic Brown,Dry,0,Kurakkan,2.149
25.13,40.89,148.46,6.34,3.89,31.44,55.81,1357.56,67.81,Latosols,Dry,0,Maize,4.714
149.68,38.88,91.91,5.68,2.97,33.71,10.0,1126.71,49.82,Alluvial,Dry,0,Maize,8.402
46.75,44.39,32.25,7.88,1.54,33.7,66.22,1458.35,286.37,Red Básico,Dry,0,Green Gram,1.891
57.86,70.54,8.16,4.87,2.85,34.55,62.03,1270.58,242.9,Non-Calcic Brown,Dry,0,Maize,5.719
37.92,24.84,128.37,4.12,2.32,30.68,61.06,951.43,14.51,Non-Calcic Brown,Dry,1,Paddy (Samba),6.434
103.86,53.14,105.64,6.1,1.01,28.33,52.28,1449.64,85.77,Alluvial,Dry,1,Paddy (Samba),8.186
149.17,5.83,183.89,6.49,3.31,30.82,74.91,1163.73,40.57,Latosols,Dry,0,Chilli,3.752
54.1,21.85,21.94,7.69,1.6,30.5,64.39,1215.65,48.44,Red Básico,Dry,0,Maize,5.754
18.53,57.05,49.77,5.3,3.74,33.15,62.2,1227.08,39.95,Red Básico,Dry,1,Paddy (Nadu),5.219
71.04,49.55,149.47,4.12,2.15,32.0,56.72,926.55,59.59,Alluvial,Dry,1,Paddy (Nadu),6.939
136.45,6.85,56.32,5.76,1.0,34.16,55.78,834.45,269.22,Red Básico,Dry,0,Kurakkan,2.198
52.35,69.4,215.02,7.39,3.63,29.87,52.06,1368.67,179.99,Alluvial,Dry,1,Paddy (Nadu),6.477
143.33,29.66,167.27,7.33,1.41,29.7,51.59,1014.23,53.14,Red Básico,Dry,0,Cashew,1.562
76.57,68.68,98.93,4.59,3.15,32.53,65.96,1237.49,92.14,Alluvial,Dry,0,Maize,7.551
107.58,32.22,220.42,7.21,3.01,34.87,73.35,1452.74,120.67,Non-Calcic Brown,Dry,1,Maize,5.652
89.91,40.9,216.21,4.3,2.13,32.17,60.88,1497.01,276.21,Latosols,Dry,0,Maize,5.815
56.22,13.01,238.58,4.08,2.48,29.57,60.97,1054.29,293.25,Non-Calcic Brown,Dry,0,Maize,10.45
20.9,76.66,65.51,7.84,2.63,30.28,69.02,814.53,12.82,Red Básico,Dry,0,Kurakkan,2.167
39.39,24.57,242.56,7.25,3.85,31.83,59.43,861.21,124.05,Alluvial,Dry,0,Kurakkan,2.692
54.25,9.18,154.4,4.93,3.07,31.62,54.98,1089.18,123.71,Latosols,Dry,0,Chilli,3.559
33.17,58.0,136.16,6.79,2.29,33.96,58.9,858.99,204.12,Alluvial,Dry,0,Kurakkan,1.842
77.69,37.19,23.35,4.3,1.71,30.27,58.43,1270.93,53.88,Red Básico,Dry,0,Chilli,2.455
110.69,25.37,82.47,7.77,1.58,32.07,60.16,1336.44,263.95,Red Básico,Dry,0,Maize,7.376
49.59,27.84,245.82,6.82,2.16,34.98,55.89,822.72,93.09,Red Básico,Dry,1,Paddy (Nadu),8.639
113.93,22.12,19.32,5.21,2.33,32.58,64.83,991.79,146.77,Alluvial,Dry,0,Kurakkan,1.685
91.94,24.23,233.82,4.42,1.85,29.06,66.62,1218.47,125.8,Red Básico,Dry,1,Paddy (Samba),6.823
89.58,64.4,246.74,4.98,2.83,31.0,69.59,818.97,3.15,Non-Calcic Brown,Dry,1,Maize,9.822
14.05,22.97,12.94,5.38,3.69,32.28,69.3,1059.68,51.14,Red Básico,Dry,1,Maize,4.914
108.97,54.08,218.77,4.95,1.24,28.06,62.78,1253.81,133.66,Non-Calcic Brown,Dry,0,Cashew,0.774
68.43,28.23,234.77,6.98,3.44,32.17,55.27,1317.71,252.49,Non-Calcic Brown,Dry,0,Maize,8.706
149.01,63.33,60.33,4.63,2.91,33.91,67.18,1051.77,93.85,Alluvial,Dry,1,Maize,6.516
65.55,37.34,144.48,3.81,2.37,34.91,66.56,957.61,182.9,Latosols,Dry,1,Paddy (Nadu),7.632
46.14,39.8,37.65,8.16,1.97,31.14,73.24,1007.51,37.38,Latosols,Dry,0,Maize,6.319
14.81,52.92,24.95,5.84,2.59,28.27,69.12,1149.68,79.67,Non-Calcic Brown,Dry,0,Maize,8.249
49.77,79.61,241.81,5.87,2.62,28.12,64.32,834.3,245.85,Red Básico,Dry,1,Paddy (Nadu),7.986
22.15,22.76,45.41,4.39,2.63,28.99,66.09,891.22,59.15,Red Básico,Dry,1,Paddy (Samba),5.791
147.17,70.14,47.62,4.02,3.81,30.63,53.65,1238.73,246.9,Latosols,Dry,0,Chilli,4.766
140.89,52.78,225.17,5.95,2.46,31.25,72.87,972.07,100.62,Non-Calcic Brown,Dry,0,Kurakkan,1.734
148.32,34.2,184.49,7.02,1.74,28.03,52.51,1088.87,152.75,Red Básico,Dry,1,Paddy (Samba),6.7
30.03,6.05,143.88,8.18,1.13,34.75,59.99,991.48,294.86,Latosols,Dry,0,Kurakkan,2.122
85.11,69.5,57.19,6.66,3.46,32.79,69.13,1152.25,145.59,Red Básico,Dry,0,Green Gram,1.96
54.81,62.24,201.55,5.61,1.82,32.36,69.72,1049.25,70.11,Alluvial,Dry,0,Chilli,2.918
142.9,27.88,46.37,5.97,1.72,34.36,63.19,1223.2,167.23,Non-Calcic Brown,Dry,1,Maize,5.757
27.73,18.39,125.79,4.19,3.72,32.78,70.52,928.49,128.67,Alluvial,Dry,1,Paddy (Nadu),4.974
127.1,43.4,134.12,6.44,1.16,31.97,57.57,1254.68,137.99,Red Básico,Dry,0,Green Gram,1.924
97.95,14.1,246.55,7.47,1.32,33.46,60.16,1053.13,242.81,Alluvial,Dry,0,Green Gram,1.776
134.41,41.29,183.46,5.29,3.55,31.1,59.18,1063.33,157.78,Latosols,Dry,0,Green Gram,2.115
105.56,70.36,63.18,8.4,1.95,31.82,52.04,1051.6,58.0,Red Básico,Dry,0,Chilli,4.037
43.63,40.24,116.59,6.54,2.4,34.69,57.78,1443.74,62.72,Red Básico,Dry,0,Maize,9.412
141.78,71.12,131.22,7.44,3.16,33.11,69.61,1071.07,147.87,Latosols,Dry,0,Maize,10.496
18.9,46.38,211.07,8.49,2.45,32.6,53.6,938.74,299.84,Non-Calcic Brown,Dry,0,Kurakkan,1.68
108.33,68.9,92.37,5.03,2.46,30.43,67.15,985.66,284.64,Non-Calcic Brown,Dry,0,Kurakkan,2.251
77.55,51.69,7.46,4.72,2.78,33.28,63.5,1235.41,224.88,Latosols,Dry,1,Paddy (Samba),4.871
119.27,20.09,24.62,6.03,1.67,30.72,72.28,1110.59,123.4,Alluvial,Dry,0,Maize,6.941
11.27,10.66,66.34,6.95,3.78,28.56,71.46,1051.63,69.78,Alluvial,Dry,1,Paddy (Samba),7.076
54.89,18.37,63.65,5.76,3.59,33.07,72.31,932.69,129.28,Alluvial,Dry,0,Kurakkan,1.666
120.98,25.94,163.36,7.9,2.18,33.23,68.92,1425.46,99.6,Non-Calcic Brown,Dry,0,Maize,8.14
66.12,27.3,172.02,4.78,2.59,32.59,71.61,963.23,92.81,Red Básico,Dry,0,Kurakkan,1.726
63.05,27.71,117.54,7.64,3.24,30.51,59.56,1227.03,91.36,Latosols,Dry,1,Paddy (Nadu),6.46
50.77,62.92,23.5,7.69,1.69,28.91,53.85,808.8,211.61,Alluvial,Dry,0,Kurakkan,1.572
140.5,62.77,188.19,4.9,3.4,29.65,71.49,1452.75,212.94,Alluvial,Dry,0,Chilli,4.247
81.14,60.16,248.06,6.76,1.32,29.59,72.71,1452.04,234.39,Red Básico,Dry,0,Maize,6.028
48.37,65.09,97.41,8.05,2.07,29.4,66.08,826.45,78.75,Alluvial,Dry,0,Kurakkan,2.331
89.22,51.17,14.69,5.69,1.63,31.72,70.3,869.21,259.81,Alluvial,Dry,1,Paddy (Nadu),5.388
104.82,57.7,239.22,6.3,2.62,34.36,61.7,865.18,266.26,Non-Calcic Brown,Dry,0,Kurakkan,1.877
43.77,20.62,66.37,7.59,1.0,30.58,59.68,1283.02,103.83,Alluvial,Dry,0,Maize,5.065
27.79,31.75,150.16,7.73,3.07,29.98,74.86,826.58,144.6,Latosols,Dry,0,Kurakkan,1.153
73.85,34.83,84.55,8.41,2.96,30.65,52.42,1324.81,142.82,Latosols,Dry,1,Paddy (Nadu),8.271
32.19,41.56,94.21,6.81,3.93,34.73,51.61,1183.18,192.83,Non-Calcic Brown,Dry,0,Green Gram,1.559
108.93,75.55,85.68,4.0,2.41,30.45,53.2,1097.38,36.88,Non-Calcic Brown,Dry,1,Paddy (Nadu),8.191
91.17,51.42,74.31,8.01,3.52,32.12,60.77,862.46,52.44,Non-Calcic Brown,Dry,0,Kurakkan,1.277
19.18,56.8,145.24,5.7,1.75,33.17,53.21,1368.83,5.51,Alluvial,Dry,0,Green Gram,1.637
13.23,72.26,56.62,4.87,1.63,34.22,55.4,1292.09,55.02,Non-Calcic Brown,Dry,0,Green Gram,1.873
105.01,36.57,240.55,6.62,2.21,28.67,68.14,837.95,24.32,Red Básico,Dry,0,Kurakkan,2.109
84.3,24.14,170.53,6.35,3.57,33.81,73.64,1292.76,122.68,Latosols,Dry,0,Chilli,4.046
125.45,50.63,113.87,8.24,1.67,28.01,63.36,884.11,202.54,Latosols,Dry,0,Kurakkan,3.193
89.22,16.79,174.2,6.21,3.58,32.47,73.16,835.42,288.49,Red Básico,Dry,0,Kurakkan,3.162
28.02,46.78,224.02,8.38,1.31,30.28,66.68,1488.52,13.15,Non-Calcic Brown,Dry,1,Paddy (Nadu),8.106
110.66,47.71,185.9,4.47,2.86,31.38,69.2,865.56,224.17,Red Básico,Dry,1,Maize,7.894
144.59,50.2,142.07,3.87,3.01,32.82,60.63,889.73,74.16,Red Básico,Dry,0,Kurakkan,3.372
55.42,30.07,11.31,5.4,1.75,33.88,58.47,1253.62,140.99,Non-Calcic Brown,Dry,1,Maize,6.859
86.85,21.45,110.08,10.0,2.74,30.06,71.31,1079.72,150.09,Red Básico,Dry,0,Green Gram,1.568
28.44,56.02,211.4,4.87,3.19,32.84,71.73,1068.15,170.5,Non-Calcic Brown,Dry,1,Paddy (Samba),6.41
67.31,26.74,8.56,6.5,3.65,31.47,60.26,1094.78,69.4,Red Básico,Dry,0,Green Gram,1.582
98.0,12.13,28.26,7.22,1.32,29.25,73.51,855.71,78.2,Red Básico,Dry,1,Maize,5.119
136.61,77.66,248.01,7.51,1.44,31.33,66.03,1054.46,270.38,Red Básico,Dry,0,Maize,8.546
47.87,65.35,155.8,7.34,1.06,34.34,53.84,1161.37,276.52,Red Básico,Dry,0,Maize,8.971
97.84,24.47,76.64,7.11,3.88,32.58,56.85,959.9,94.45,Red Básico,Dry,1,Paddy (Nadu),8.272
61.23,23.12,169.69,4.72,3.34,30.62,50.56,1465.66,91.12,Latosols,Dry,1,Maize,8.39
12.73,65.43,31.5,8.44,1.27,34.74,60.52,888.66,144.28,Alluvial,Dry,1,Paddy (Nadu),5.982
122.42,58.71,55.04,4.96,3.37,32.69,64.77,951.3,273.96,Latosols,Dry,0,Kurakkan,1.426
46.26,58.15,57.64,3.99,3.36,33.81,67.46,1469.29,62.33,Red Básico,Dry,1,Paddy (Samba),6.097
78.56,62.19,209.18,5.44,3.5,28.23,66.17,1127.5,249.01,Alluvial,Dry,1,Paddy (Nadu),8.169
108.43,26.86,120.24,8.29,3.01,29.19,71.31,1264.03,77.38,Latosols,Dry,0,Green Gram,2.392
59.89,67.44,213.44,5.79,3.54,34.01,62.48,1469.78,279.46,Red Básico,Dry,0,Chilli,5.152
76.24,52.28,227.43,5.77,2.13,28.34,64.27,1342.79,228.21,Alluvial,Dry,0,Chilli,3.287
102.64,66.27,36.26,7.84,3.2,31.79,53.41,1026.73,266.27,Latosols,Dry,1,Maize,8.213
113.15,50.1,165.59,3.84,1.44,34.12,62.83,1333.96,201.22,Alluvial,Dry,0,Maize,8.655
31.67,32.72,85.68,5.79,2.46,29.08,60.2,1116.08,206.24,Red Básico,Dry,1,Paddy (Samba),6.764
82.65,50.43,240.9,6.57,1.04,32.24,50.61,1166.63,237.21,Non-Calcic Brown,Dry,0,Maize,10.098
102.98,36.99,222.83,7.77,1.87,34.04,55.37,1271.84,191.31,Latosols,Dry,1,Paddy (Nadu),9.266
49.77,18.21,187.12,4.98,2.07,34.6,65.58,1382.53,199.71,Latosols,Dry,1,Paddy (Nadu),6.037
77.3,74.87,178.43,7.32,3.28,31.02,62.91,837.75,151.42,Latosols,Dry,0,Kurakkan,1.934
130.1,28.16,166.42,6.46,1.43,30.37,56.96,877.74,231.48,Alluvial,Dry,1,Paddy (Mawel),6.914
38.12,38.9,174.5,6.8,3.5,33.72,10.0,1402.71,3.83,Non-Calcic Brown,Dry,0,Maize,7.27
123.46,56.73,182.59,7.08,1.96,29.19,73.33,1372.19,281.51,Red Básico,Dry,1,Maize,6.85
19.35,13.73,151.14,5.09,2.71,34.68,70.09,1342.61,159.48,Latosols,Dry,1,Paddy (Samba),6.897
90.58,76.29,215.49,4.87,1.95,34.94,57.69,1449.29,33.48,Non-Calcic Brown,Dry,0,Chilli,5.251
115.24,36.72,131.7,5.54,3.66,33.77,73.26,993.28,109.39,Alluvial,Dry,0,Kurakkan,2.517
60.38,75.41,135.81,6.6,3.38,29.88,63.81,1343.62,198.29,Non-Calcic Brown,Dry,0,Chilli,3.382
101.86,20.78,82.97,4.93,1.93,31.8,53.37,1148.01,148.82,Red Básico,Dry,0,Chilli,3.604
108.11,74.51,96.97,4.94,1.49,31.1,61.91,1219.51,279.85,Red Básico,Dry,1,Paddy (Samba),5.016
125.18,38.86,127.85,6.25,1.87,33.93,52.33,889.25,176.78,Red Básico,Dry,1,Maize,9.871
127.75,43.51,39.09,4.91,1.04,28.13,62.41,870.37,206.99,Latosols,Dry,0,Kurakkan,2.326
118.48,14.73,116.17,6.18,1.51,34.14,70.18,951.41,227.22,Non-Calcic Brown,Dry,1,Maize,9.046
116.64,9.37,249.61,7.34,3.53,32.13,58.6,1286.69,208.16,Alluvial,Dry,0,Green Gram,2.145
67.32,70.72,78.01,3.86,3.09,34.04,69.45,855.9,147.91,Latosols,Dry,1,Maize,5.479
62.31,56.66,169.39,4.55,1.23,29.45,70.38,1442.74,293.66,Alluvial,Dry,1,Paddy (Nadu),5.451
86.67,15.84,37.82,8.24,1.82,32.99,56.31,910.39,46.99,Non-Calcic Brown,Dry,0,Kurakkan,1.85
17.71,19.05,227.82,6.24,1.19,33.17,56.57,1077.82,112.65,Non-Calcic Brown,Dry,0,Green Gram,2.13
24.8,54.86,75.11,4.73,3.09,30.99,74.86,963.48,286.97,Latosols,Dry,1,Maize,7.768
38.09,26.55,44.66,4.97,2.77,31.55,60.41,913.56,249.89,Red Básico,Dry,0,Kurakkan,2.518
17.88,35.9,146.83,5.65,1.35,31.92,56.56,978.5,11.78,Non-Calcic Brown,Dry,1,Maize,5.457
138.02,6.55,240.78,5.97,1.22,28.48,58.22,1155.18,152.49,Red Básico,Dry,1,Paddy (Samba),6.11
114.48,50.35,173.16,3.89,3.35,28.92,56.71,1120.3,252.61,Latosols,Dry,0,Maize,7.828
28.32,55.69,142.17,7.51,1.6,34.54,53.4,1029.21,71.08,Red Básico,Dry,1,Maize,6.377
120.49,31.89,33.99,8.48,1.47,34.27,74.89,913.8,35.66,Non-Calcic Brown,Dry,0,Kurakkan,2.537
49.06,18.53,140.36,4.81,2.11,31.96,73.4,1055.82,16.47,Latosols,Dry,0,Chilli,4.741
138.43,34.36,212.01,3.8,2.68,34.04,60.36,1319.91,142.07,Latosols,Dry,0,Chilli,3.103
12.87,44.14,161.05,4.9,2.63,28.86,50.74,948.42,130.18,Latosols,Dry,1,Paddy (Samba),6.793
111.25,65.12,198.97,8.4,1.96,32.71,56.28,1070.99,49.86,Latosols,Dry,0,Chilli,4.157
115.01,68.22,120.17,5.63,3.8,33.25,51.67,895.12,292.82,Non-Calcic Brown,Dry,0,Kurakkan,2.517
73.05,29.38,120.42,7.65,3.45,32.26,61.98,954.0,202.62,Latosols,Dry,1,Paddy (Nadu),6.338
