N,P,K,pH,EC,Temperature,Humidity,Rainfall,Elevation,Soil_Type,Zone,Water_Source,Target_Crop,Yield_MT_per_HA
26.47,60.48,83.32,8.45,1.29,24.16,81.01,2880.26,1353.66,Alluvial,Wet,1,Carrots,20.985
123.04,9.43,225.22,6.86,0.35,15.46,86.33,3259.87,2064.27,Latosols,Wet,0,Leeks,20.98
90.05,43.81,110.45,5.29,1.32,25.33,70.82,3813.1,1910.81,Alluvial,Wet,0,Tea,2.943
97.15,40.23,114.63,6.03,0.71,50.0,76.92,2850.06,2137.37,Red-Yellow Podzolic,Wet,0,Carrots,31.223
22.19,51.28,32.89,5.42,0.6,21.14,79.92,3046.27,97.65,Red-Yellow Podzolic,Wet,0,Rubber,1.135
48.55,27.97,198.3,5.9,1.01,26.43,79.68,2668.46,1874.05,Latosols,Wet,0,Leeks,21.194
126.71,38.03,79.07,5.02,1.14,25.83,81.95,4950.27,1170.97,Red-Yellow Podzolic,Wet,1,Tea,2.407
148.68,20.05,248.69,4.22,1.19,20.02,76.97,4511.09,463.55,Red-Yellow Podzolic,Wet,0,Cinnamon,1.735
79.54,26.32,37.79,6.76,0.41,19.06,73.0,3908.22,2016.94,Latosols,Wet,0,Potatoes,24.492
108.54,5.33,45.9,7.15,0.95,24.45,71.06,2790.06,1242.18,Latosols,Wet,1,Carrots,27.479
70.58,39.33,56.18,5.53,0.75,23.88,72.62,4998.67,1096.86,Low Humic Gley,Wet,0,Tea,2.898
65.26,74.81,35.8,7.26,0.05,21.61,75.39,4700.39,1491.19,Red-Yellow Podzolic,Wet,1,Leeks,17.232
43.86,73.33,210.38,7.13,1.03,15.81,82.9,2778.78,588.7,Red-Yellow Podzolic,Wet,0,Cinnamon,1.585
40.77,14.86,215.0,6.5,0.4,28.49,86.94,3797.58,686.1,Latosols,Wet,0,Cinnamon,1.132
86.77,70.94,170.52,6.37,0.99,22.25,79.29,3370.24,2.98,Low Humic Gley,Wet,1,Paddy (Mawel),5.481
148.63,22.94,135.03,6.86,0.87,18.45,88.69,3710.19,1042.38,Alluvial,Wet,0,Paddy (Mawel),4.848
32.94,53.21,203.42,8.25,1.36,25.94,73.67,3945.75,1784.47,Latosols,Wet,1,Leeks,20.782
59.6,76.18,240.77,6.72,1.14,23.83,73.36,3619.18,2107.46,Low Humic Gley,Wet,0,Leeks,19.343
64.86,54.43,31.68,6.79,0.79,17.93,91.09,2624.95,2158.62,Red-Yellow Podzolic,Wet,0,Strawberries,13.133
132.83,78.08,11.74,7.75,1.35,18.51,78.96,3910.19,1444.59,Alluvial,Wet,1,Carrots,27.678
74.4,12.13,207.55,4.02,1.32,26.97,71.78,3017.69,151.82,Low Humic Gley,Wet,0,Cinnamon,1.491
83.15,9.1,243.4,4.86,0.62,28.03,83.67,3479.56,1170.45,Red-Yellow Podzolic,Wet,0,Tea,2.097
27.52,68.79,89.43,3.95,0.18,26.59,87.86,4243.02,1015.78,Red-Yellow Podzolic,Wet,1,Tea,3.148
34.37,13.78,115.03,6.68,0.0,24.89,77.82,4025.02,596.41,Latosols,Wet,1,Coconut,8.183
62.11,29.98,221.82,5.6,0.89,15.88,88.32,3647.35,1334.81,Low Humic Gley,Wet,0,Strawberries,16.97
25.46,26.69,80.9,4.97,1.03,26.01,88.67,4856.33,1585.24,Low Humic Gley,Wet,0,Strawberries,10.393
19.67,40.57,142.37,6.75,1.19,50.0,93.79,4432.47,1708.28,Alluvial,Wet,1,Paddy (Nadu),7.621
70.69,79.79,141.97,5.31,1.21,26.87,94.54,3863.96,991.05,Red-Yellow Podzolic,Wet,1,Rubber,1.972
10.74,65.34,194.34,6.38,0.73,19.9,79.48,4823.22,1829.01,Latosols,Wet,0,Carrots,24.907
69.48,73.09,129.23,4.68,0.32,24.98,84.71,3465.53,407.82,Red-Yellow Podzolic,Wet,0,Tea,2.708
12.4,73.75,178.01,5.25,0.02,25.97,77.82,3915.45,1439.55,Low Humic Gley,Wet,0,Potatoes,34.579
94.43,51.42,235.49,7.45,1.04,19.01,94.93,4506.6,66.06,Alluvial,Wet,1,Cinnamon,2.029
92.59,5.48,194.27,7.1,1.18,27.89,77.29,2600.15,456.59,Alluvial,Wet,0,Coconut,10.894
103.8,40.12,194.52,4.38,0.34,17.39,75.11,2576.16,748.91,Latosols,Wet,1,Cinnamon,1.105
43.6,58.26,71.87,5.4,0.25,28.1,79.31,2964.33,2042.99,Latosols,Wet,1,Carrots,23.883
78.01,13.77,172.13,8.26,0.26,17.58,80.75,3355.27,1828.09,Alluvial,Wet,0,Leeks,16.498
130.89,21.73,218.91,7.51,0.93,18.01,84.87,2668.09,1625.51,Latosols,Wet,1,Strawberries,19.434
144.72,38.31,188.76,6.3,1.35,20.64,90.37,4584.11,1346.03,Red-Yellow Podzolic,Wet,0,Strawberries,11.847
55.41,22.54,56.67,7.83,1.05,19.55,76.8,2598.17,14.03,Red-Yellow Podzolic,Wet,0,Paddy (Mawel),5.48
44.7,57.33,94.21,6.46,0.47,20.5,84.58,2571.63,24.87,Latosols,Wet,0,Cinnamon,1.28
46.31,11.57,27.03,4.71,0.48,15.71,90.81,3565.3,1772.43,Red-Yellow Podzolic,Wet,0,Leeks,15.601
39.2,27.23,228.15,6.37,0.32,21.19,79.86,3336.0,1165.87,Low Humic Gley,Wet,0,Rubber,1.821
53.67,14.16,32.23,6.85,0.51,24.76,86.04,2983.59,571.62,Alluvial,Wet,0,Paddy (Mawel),3.711
144.94,15.13,42.18,7.98,0.14,18.54,72.57,4663.91,277.1,Latosols,Wet,1,Cinnamon,1.264
86.74,18.1,77.5,6.92,0.64,23.72,91.05,4516.89,1061.97,Alluvial,Wet,0,Paddy (Nadu),5.259
110.06,27.0,133.74,7.08,0.21,26.76,90.01,2818.71,1898.62,Alluvial,Wet,0,Strawberries,15.887
112.03,29.26,167.94,6.42,0.02,16.14,78.15,4810.72,281.1,Low Humic Gley,Wet,1,Coconut,8.354
59.92,24.09,8.16,6.34,1.07,24.03,77.47,3220.63,1960.64,Red-Yellow Podzolic,Wet,1,Strawberries,13.776
34.77,79.05,113.81,6.3,0.14,28.84,79.75,3064.32,1056.1,Latosols,Wet,1,Cinnamon,1.251
90.99,57.01,176.65,7.34,0.19,27.03,87.37,3980.75,802.28,Latosols,Wet,0,Paddy (Mawel),6.937
135.71,65.74,147.87,7.23,0.92,22.32,79.98,3179.47,1316.91,Red-Yellow Podzolic,Wet,1,Strawberries,18.352
56.39,55.67,102.0,7.35,1.05,22.42,93.1,4330.97,2145.4,Red-Yellow Podzolic,Wet,1,Leeks,21.432
84.2,55.88,150.23,4.5,0.44,23.33,84.42,4679.78,760.06,Low Humic Gley,Wet,0,Tea,2.477
37.18,40.58,6.8,3.92,0.41,15.72,82.79,3494.48,1063.25,Latosols,Wet,0,Rubber,1.207
47.24,29.96,141.56,7.12,0.44,26.37,86.23,2534.66,1471.53,Red-Yellow Podzolic,Wet,0,Carrots,32.583
119.67,73.19,95.71,7.33,0.3,19.39,79.96,4090.17,14.99,Alluvial,Wet,0,Coconut,8.076
68.12,36.66,197.34,4.72,0.89,15.88,81.85,3491.89,992.79,Red-Yellow Podzolic,Wet,0,Cinnamon,1.34
114.16,58.33,62.45,7.32,0.11,28.0,72.98,3576.34,1127.26,Alluvial,Wet,1,Paddy (Mawel),4.349
104.02,7.38,136.07,3.98,1.16,19.78,86.89,3610.46,1119.57,Low Humic Gley,Wet,1,Tea,2.345
16.94,24.28,118.93,4.87,1.32,16.61,82.55,2509.59,1282.88,Low Humic Gley,Wet,1,Potatoes,25.136
102.64,21.43,32.65,6.6,0.72,24.43,88.72,3625.88,785.36,Latosols,Wet,0,Rubber,2.14
139.17,42.68,85.33,7.26,1.4,26.98,90.13,4374.88,301.06,Alluvial,Wet,0,Cinnamon,0.955
45.12,12.54,101.35,6.7,1.42,15.74,72.95,4585.41,99.33,Latosols,Wet,0,Coconut,6.35
82.41,68.61,172.87,5.16,0.43,25.73,94.25,4915.69,1903.16,Low Humic Gley,Wet,0,Tea,2.078
88.29,43.61,29.4,3.88,1.28,22.66,71.6,2911.5,698.26,Low Humic Gley,Wet,0,Cinnamon,1.613
147.85,20.68,36.94,4.76,0.22,24.74,94.89,4860.52,990.61,Red-Yellow Podzolic,Wet,0,Tea,1.976
28.72,75.15,189.1,8.22,1.24,15.52,80.08,3763.41,1396.02,Latosols,Wet,0,Strawberries,15.119
130.1,27.87,52.21,4.41,0.7,15.87,77.78,4556.76,883.73,Red-Yellow Podzolic,Wet,0,Rubber,1.667
108.79,44.12,35.54,8.32,0.53,21.79,92.28,2947.91,1012.78,Alluvial,Wet,1,Cinnamon,1.478
58.61,64.56,158.18,8.21,0.39,16.22,94.16,3258.05,2078.36,Low Humic Gley,Wet,0,Strawberries,13.608
133.57,12.27,18.65,4.41,0.36,24.7,94.89,4332.9,632.52,Low Humic Gley,Wet,0,Cinnamon,1.428
127.24,29.22,222.81,4.55,1.04,18.42,93.95,4916.84,544.79,Latosols,Wet,1,Cinnamon,1.049
81.97,63.45,133.01,6.81,1.15,19.42,78.02,3727.55,422.97,Alluvial,Wet,0,Paddy (Samba),6.474
29.5,69.97,218.54,5.77,0.76,18.34,80.28,3033.86,1548.87,Low Humic Gley,Wet,0,Strawberries,13.021
131.52,67.11,158.38,4.15,0.97,21.84,86.67,3810.49,587.72,Red-Yellow Podzolic,Wet,0,Cinnamon,1.798
99.48,30.57,249.43,5.04,0.41,28.57,82.67,3634.82,1258.78,Latosols,Wet,1,Tea,3.167
57.35,73.54,245.36,6.91,1.4,21.57,86.03,4821.39,685.64,Alluvial,Wet,0,Paddy (Nadu),6.853
79.16,70.2,185.52,6.15,1.47,15.56,91.74,3994.21,1959.83,Latosols,Wet,1,Leeks,18.804
98.46,44.53,147.72,7.01,0.91,27.76,89.0,4551.27,107.29,Alluvial,Wet,0,Cinnamon,1.093
58.06,29.64,152.55,5.31,0.77,16.82,91.47,4190.49,2118.01,Alluvial,Wet,0,Carrots,20.257
10.96,40.03,172.98,4.86,0.28,27.47,90.81,3923.74,2181.57,Red-Yellow Podzolic,Wet,0,Leeks,24.164
141.67,76.46,63.64,6.73,0.67,21.02,77.76,3594.41,1676.69,Alluvial,Wet,1,Paddy (Nadu),7.686
58.2,9.63,184.92,6.25,1.48,28.52,82.57,4789.54,1749.24,Alluvial,Wet,1,Paddy (Nadu),5.728
98.89,69.42,89.47,5.63,0.05,23.92,79.04,2676.74,1176.56,Red-Yellow Podzolic,Wet,0,Tea,2.38
54.8,42.95,44.82,8.31,1.1,15.4,76.93,4109.3,989.29,Low Humic Gley,Wet,1,Paddy (Mawel),4.196
108.29,43.05,113.17,4.41,1.37,24.37,82.2,3620.21,449.36,Alluvial,Wet,1,Cinnamon,1.676
147.84,54.98,74.92,6.55,0.13,26.94,93.32,4833.95,275.51,Low Humic Gley,Wet,0,Coconut,9.661
30.53,16.97,198.57,6.7,1.24,24.83,76.72,3248.64,2195.55,Low Humic Gley,Wet,0,Carrots,24.526
22.24,75.24,207.26,7.52,1.36,16.95,70.93,3800.58,177.47,Red-Yellow Podzolic,Wet,1,Paddy (Mawel),6.576
38.84,58.2,10.18,5.77,1.14,19.6,74.61,3195.28,1094.54,Low Humic Gley,Wet,1,Cinnamon,1.623
99.99,63.71,234.68,7.05,1.05,15.22,72.25,3400.25,565.03,Latosols,Wet,0,Cinnamon,2.099
66.32,8.84,126.65,4.38,0.51,22.3,89.18,3156.67,2038.66,Low Humic Gley,Wet,1,Strawberries,11.916
40.16,14.04,213.63,4.54,1.25,16.62,70.93,3471.58,2018.72,Low Humic Gley,Wet,0,Carrots,29.013
125.53,70.12,106.46,7.08,1.21,50.0,86.13,3118.66,1432.14,Low Humic Gley,Wet,0,Leeks,18.123
134.58,50.04,134.86,3.93,1.45,24.48,87.95,3814.43,1279.2,Red-Yellow Podzolic,Wet,1,Tea,2.846
88.6,68.68,113.69,8.12,0.66,16.23,88.75,3534.16,1525.48,Alluvial,Wet,0,Carrots,27.509
128.35,59.54,245.29,4.53,0.35,17.89,70.76,4685.27,199.93,Red-Yellow Podzolic,Wet,1,Rubber,2.389
56.77,44.14,148.49,3.84,0.66,28.71,86.8,4240.91,529.5,Alluvial,Wet,0,Cinnamon,0.958
103.68,35.77,120.32,4.03,0.13,27.96,86.55,3757.61,2007.72,Alluvial,Wet,0,Tea,2.217
57.32,73.01,148.91,4.2,0.96,21.13,83.73,4544.47,2045.54,Red-Yellow Podzolic,Wet,1,Strawberries,15.13
81.59,65.5,17.22,6.64,0.43,27.68,75.81,4937.72,1938.85,Alluvial,Wet,1,Paddy (Mawel),5.811
130.66,47.32,105.52,5.36,1.41,22.04,88.23,3289.84,1924.44,Red-Yellow Podzolic,Wet,0,Tea,2.148
50.44,48.92,149.88,7.18,1.01,27.86,73.91,4760.28,806.6,Low Humic Gley,Wet,0,Cinnamon,1.349
57.08,29.65,74.8,6.05,1.1,17.52,93.95,3945.18,1106.76,Red-Yellow Podzolic,Wet,0,Cinnamon,1.462
102.31,43.3,121.88,7.72,0.72,28.2,75.17,4829.33,788.08,Latosols,Wet,0,Cinnamon,0.981
93.02,45.33,6.15,4.14,0.46,21.65,89.16,3293.15,1095.49,Alluvial,Wet,1,Tea,2.77
79.07,8.01,246.16,2.0,0.91,18.19,77.74,4350.04,1889.25,Red-Yellow Podzolic,Wet,1,Strawberries,15.967
138.96,70.58,144.92,3.84,0.09,21.05,71.86,4057.93,1108.12,Red-Yellow Podzolic,Wet,0,Tea,2.207
48.94,29.34,236.55,5.13,0.11,21.89,84.6,4460.7,181.35,Red-Yellow Podzolic,Wet,1,Cinnamon,1.145
140.7,59.0,189.68,4.83,0.4,25.31,86.41,4435.63,1037.66,Low Humic Gley,Wet,1,Tea,2.435
134.13,24.73,60.02,5.99,1.21,23.47,82.16,3899.73,1110.85,Red-Yellow Podzolic,Wet,0,Tea,2.653
124.38,35.66,85.06,7.3,0.49,15.71,88.01,2609.7,977.86,Low Humic Gley,Wet,0,Rubber,1.541
130.63,75.66,132.03,5.46,0.32,25.4,75.91,4153.98,215.29,Low Humic Gley,Wet,1,Cinnamon,1.83
35.45,11.44,179.96,4.72,0.46,19.98,77.62,3790.34,1513.4,Low Humic Gley,Wet,0,Carrots,25.34
55.45,59.09,166.16,8.31,1.18,23.53,77.13,4551.44,526.26,Alluvial,Wet,0,Cinnamon,1.558
37.4,67.01,208.54,5.17,0.05,16.67,82.5,3061.46,1848.97,Latosols,Wet,0,Carrots,19.9
85.92,16.11,187.85,3.84,0.55,19.79,76.87,4580.6,1612.94,Alluvial,Wet,0,Tea,3.245
54.83,55.27,51.04,6.74,1.36,25.29,74.4,3261.44,1730.36,Low Humic Gley,Wet,0,Leeks,23.695
123.11,19.24,31.99,7.19,1.22,23.29,73.69,2680.57,161.14,Red-Yellow Podzolic,Wet,0,Rubber,1.905
55.12,78.07,246.65,6.21,0.26,24.0,91.77,4232.0,753.13,Red-Yellow Podzolic,Wet,0,Cinnamon,1.257
57.63,5.49,122.48,3.87,1.19,28.95,86.12,4376.98,781.64,Latosols,Wet,0,Tea,2.111
32.75,55.56,37.7,7.59,0.87,16.23,92.87,4084.62,459.03,Latosols,Wet,1,Coconut,7.814
71.0,21.82,100.21,5.76,0.02,15.45,92.3,4850.45,1178.15,Alluvial,Wet,1,Cinnamon,1.109
109.09,41.23,224.64,8.42,0.11,19.43,73.76,3500.39,1107.85,Low Humic Gley,Wet,0,Paddy (Mawel),5.17
65.84,44.16,103.38,5.21,1.26,18.6,70.99,4233.77,1846.7,Latosols,Wet,1,Leeks,20.719
14.36,70.26,38.97,4.4,1.06,28.19,72.56,4719.65,1637.08,Red-Yellow Podzolic,Wet,0,Carrots,24.825
145.19,6.11,122.88,5.37,0.25,19.59,73.07,4650.18,953.62,Low Humic Gley,Wet,1,Tea,2.58
29.86,21.04,30.85,7.01,0.47,22.77,83.32,4326.04,2048.26,Red-Yellow Podzolic,Wet,0,Strawberries,9.852
71.71,48.86,204.98,8.44,0.29,22.85,78.0,2836.23,2009.58,Alluvial,Wet,0,Leeks,25.735
49.26,59.83,64.33,4.61,0.61,24.59,89.66,2813.6,39.73,Alluvial,Wet,1,Tea,2.641
145.93,33.02,171.96,4.1,0.91,18.67,70.81,4597.22,1144.4,Latosols,Wet,0,Tea,2.232
41.33,30.53,247.79,6.26,0.0,25.23,72.37,2600.81,14.93,Red-Yellow Podzolic,Wet,0,Rubber,2.195
105.7,5.21,233.07,4.32,0.85,20.29,86.93,3291.71,637.08,Latosols,Wet,0,Cinnamon,1.086
106.41,78.4,183.02,8.17,0.16,25.65,83.95,2539.6,834.82,Latosols,Wet,0,Rubber,1.769
25.54,38.21,67.05,8.07,0.49,23.25,75.07,3812.85,994.11,Red-Yellow Podzolic,Wet,0,Cinnamon,1.304
61.11,50.86,175.53,5.41,0.99,21.66,70.87,4753.76,703.74,Alluvial,Wet,0,Cinnamon,1.506
92.29,68.55,113.11,3.88,0.49,23.52,75.64,2948.24,55.31,Low Humic Gley,Wet,0,Tea,2.674
18.29,12.9,50.24,5.4,0.26,23.47,77.47,3489.36,1907.27,Low Humic Gley,Wet,0,Carrots,19.001
18.8,40.7,173.86,6.66,0.67,22.24,81.18,4409.03,1737.7,Alluvial,Wet,0,Paddy (Nadu),6.344
111.88,55.19,22.59,7.31,0.5,15.9,94.04,4656.09,542.84,Low Humic Gley,Wet,0,Rubber,1.87
140.8,11.48,200.81,8.02,0.03,28.05,89.14,4301.47,201.26,Red-Yellow Podzolic,Wet,1,Rubber,2.456
120.18,13.73,93.24,8.35,1.04,20.94,77.02,3273.31,2138.91,Red-Yellow Podzolic,Wet,0,Carrots,25.88
102.59,13.08,124.46,7.08,1.19,27.93,91.15,3643.29,995.11,Alluvial,Wet,1,Coconut,8.661
121.97,30.91,68.6,5.82,1.25,28.94,82.56,2950.0,1866.52,Latosols,Wet,0,Tea,2.734
77.92,78.03,7.01,8.02,1.43,20.2,83.43,3622.28,447.78,Latosols,Wet,0,Coconut,6.115
33.01,65.31,199.03,4.4,1.35,20.85,72.84,4341.63,1773.23,Low Humic Gley,Wet,1,Leeks,18.746
32.1,62.32,125.71,5.39,0.73,25.03,80.09,3593.2,301.33,Low Humic Gley,Wet,0,Rubber,1.712
22.1,61.96,81.94,5.96,0.44,17.84,91.14,3504.88,761.79,Red-Yellow Podzolic,Wet,0,Rubber,1.327
11.16,63.5,168.33,5.25,0.98,19.61,76.55,3478.64,754.7,Latosols,Wet,1,Tea,2.76
18.58,44.42,126.68,4.48,0.98,15.27,93.33,4331.14,1445.83,Red-Yellow Podzolic,Wet,1,Strawberries,10.204
137.76,63.54,190.08,6.65,0.55,22.04,93.56,2629.71,1159.9,Latosols,Wet,0,Coconut,7.465
72.13,47.81,134.13,3.98,1.24,26.27,90.77,2548.81,317.03,Red-Yellow Podzolic,Wet,0,Tea,1.923
10.75,47.36,88.1,5.32,1.24,26.56,83.92,4967.71,611.71,Alluvial,Wet,0,Cinnamon,1.452
62.65,75.7,205.41,6.56,1.04,25.64,81.39,4434.12,1346.19,Latosols,Wet,0,Carrots,26.25
121.27,13.46,135.71,4.28,1.03,16.04,90.32,2759.44,85.52,Low Humic Gley,Wet,0,Rubber,2.25
108.34,52.56,246.24,4.45,0.87,20.09,81.36,4583.19,1583.03,Latosols,Wet,1,Tea,3.039
122.34,8.1,97.83,3.96,1.28,19.63,78.23,4387.35,304.11,Red-Yellow Podzolic,Wet,0,Tea,2.791
59.13,74.79,200.92,5.83,0.28,20.29,89.8,3941.01,713.49,Alluvial,Wet,1,Tea,2.702
69.94,71.02,240.42,8.0,0.6,23.44,93.44,4964.98,1896.74,Alluvial,Wet,0,Potatoes,38.547
126.45,40.23,140.88,7.76,1.48,24.83,88.21,4302.23,0.12,Red-Yellow Podzolic,Wet,1,Rubber,2.394
59.19,24.86,90.72,7.13,0.25,15.9,89.14,2948.75,1085.77,Alluvial,Wet,0,Rubber,2.084
115.71,20.6,87.74,7.61,1.41,23.63,94.73,3747.18,1017.2,Alluvial,Wet,0,Coconut,6.453
103.94,61.55,32.05,6.0,0.24,16.34,71.36,3242.74,1312.59,Latosols,Wet,0,Tea,2.437
12.0,50.1,142.84,4.43,1.46,25.01,72.61,2927.96,522.54,Low Humic Gley,Wet,0,Cinnamon,1.02
91.74,20.73,23.16,5.98,0.86,22.02,78.71,2608.49,394.2,Low Humic Gley,Wet,0,Tea,2.532
107.75,51.78,51.31,6.01,0.11,15.55,71.54,3968.78,2108.8,Latosols,Wet,0,Strawberries,15.136
14.68,40.27,238.84,4.34,0.22,19.06,73.98,4466.36,97.0,Red-Yellow Podzolic,Wet,0,Rubber,1.595
63.08,30.52,157.1,7.99,0.8,26.01,90.97,4704.31,1280.8,Latosols,Wet,0,Strawberries,10.703
130.43,56.59,234.99,7.19,1.47,27.03,80.11,3668.86,988.86,Low Humic Gley,Wet,0,Coconut,10.777
119.3,21.13,180.33,7.56,1.21,17.9,83.07,4750.59,251.91,Red-Yellow Podzolic,Wet,1,Rubber,2.235
48.06,17.73,181.02,7.42,0.32,24.07,73.67,3554.39,1053.79,Alluvial,Wet,0,Rubber,1.363
47.39,40.76,206.55,5.08,1.13,28.26,75.36,4711.43,1394.92,Alluvial,Wet,1,Carrots,28.992
102.24,53.53,13.1,3.81,0.14,20.11,87.39,3481.96,2063.35,Latosols,Wet,1,Tea,1.794
59.42,52.73,189.06,6.99,0.55,19.11,89.12,4694.51,48.74,Alluvial,Wet,0,Paddy (Mawel),6.273
104.79,19.92,24.54,7.73,1.24,19.25,81.82,2771.52,1489.68,Low Humic Gley,Wet,0,Carrots,20.386
61.59,9.05,191.93,7.11,1.41,17.47,81.92,4018.17,1904.54,Red-Yellow Podzolic,Wet,0,Carrots,17.231
