UID          PID    PPID  C STIME TTY          TIME CMD
root         729       2  0 07:45 ?        00:00:00 [kworker/R-ttm]
root         733       2  0 07:45 ?        00:00:00 [card2-crtc0]
root         734       2  0 07:45 ?        00:00:00 [card2-crtc1]
root         735       2  0 07:45 ?        00:00:00 [card2-crtc2]
root         736       2  0 07:45 ?        00:00:00 [card2-crtc3]
root         744       2  0 07:45 ?        00:00:37 [napi/phy0-0]
root         745       2  0 07:45 ?        00:00:01 [napi/phy0-0]
root         746       2  0 07:45 ?        00:00:30 [napi/phy0-0]
systemd+     895       1  0 07:45 ?        00:00:13 /usr/lib/systemd/systemd-oomd
systemd+     896       1  0 07:45 ?        00:00:06 /usr/lib/systemd/systemd-resolved
systemd+     897       1  0 07:45 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root        1081       2  0 07:45 ?        00:00:14 [mt76-tx phy0]
avahi       1088       1  0 07:45 ?        00:00:00 avahi-daemon: running [chathura-ASUS-TUF-Gaming-F15-FX506HCB-FX506HCB.local]
root        1089       1  0 07:45 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
message+    1090       1  0 07:45 ?        00:00:06 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1093       1  0 07:45 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1096       1  0 07:45 ?        00:00:02 /usr/lib/polkit-1/polkitd --no-debug
root        1098       1  0 07:45 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1106       1  0 07:45 ?        00:00:03 /usr/lib/snapd/snapd
root        1111       1  0 07:45 ?        00:00:02 /usr/libexec/accounts-daemon
root        1113       1  0 07:45 ?        00:00:00 /usr/sbin/cron -f -P
root        1115       1  0 07:45 ?        00:00:00 /usr/libexec/switcheroo-control
root        1119       1  0 07:45 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        1120       1  0 07:45 ?        00:00:07 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1121       1  0 07:45 ?        00:00:01 /usr/libexec/udisks2/udisksd
avahi       1127    1088  0 07:45 ?        00:00:00 avahi-daemon: chroot helper
root        1166       1  0 07:45 ?        00:00:08 /usr/sbin/NetworkManager --no-daemon
root        1168       1  0 07:45 ?        00:00:06 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1172       1  0 07:45 ?        00:00:02 /usr/sbin/rsyslogd -n -iNONE
root        1250       1  0 07:45 ?        00:00:00 /usr/sbin/ModemManager
root        1390       2  0 07:45 ?        00:00:00 [UVM global queue]
root        1391       2  0 07:45 ?        00:00:00 [UVM deferred release queue]
root        1392       2  0 07:45 ?        00:00:00 [UVM Tools Event Queue]
nvidia-+    1398       1  0 07:45 ?        00:00:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
root        1476       2  0 07:45 ?        00:00:00 [psimon]
root        1497       1  0 07:45 ?        00:00:01 /usr/libexec/upowerd
root        1507       1  0 07:45 ?        00:00:00 /usr/sbin/cupsd -l
root        1514       1  0 07:45 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1535       1  0 07:45 ?        00:00:47 /usr/bin/containerd
root        1537       1  0 07:45 ?        00:00:00 /usr/sbin/gdm3
mysql       1567       1  0 07:45 ?        00:05:47 /usr/sbin/mysqld
rtkit       1611       1  0 07:45 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1696       2  0 07:45 ?        00:00:00 [krfcommd]
colord      1853       1  0 07:45 ?        00:00:00 /usr/libexec/colord
cups-br+    2214       1  0 07:45 ?        00:00:00 /usr/sbin/cups-browsed
root        2215       1  0 07:45 ?        00:00:05 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
kernoops    2217       1  0 07:45 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    2220       1  0 07:45 ?        00:00:00 /usr/sbin/kerneloops
root        2520    1537  0 07:46 ?        00:00:00 gdm-session-worker [pam/gdm-password]
chathura    2532       1  0 07:46 ?        00:00:02 /usr/lib/systemd/systemd --user
chathura    2538    2532  0 07:46 ?        00:00:00 (sd-pam)
chathura    2550    2532  0 07:46 ?        00:00:25 /usr/bin/pipewire
chathura    2551    2532  0 07:46 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
chathura    2555    2532  0 07:46 ?        00:00:02 /usr/bin/wireplumber
chathura    2556    2532  0 07:46 ?        00:00:24 /usr/bin/pipewire-pulse
chathura    2558    2532  0 07:46 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
chathura    2571    2532  0 07:46 ?        00:00:03 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
chathura    2607    2532  0 07:46 ?        00:00:00 /usr/libexec/xdg-document-portal
chathura    2611    2532  0 07:46 ?        00:00:00 /usr/libexec/xdg-permission-store
root        2618    2607  0 07:46 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
chathura    2670    2520  0 07:46 tty2     00:00:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
chathura    2681    2670  2 07:46 tty2     00:16:19 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
root        2692       2  0 07:46 ?        00:00:00 [nvidia-drm/timeline-21]
chathura    2743    2532  0 07:46 ?        00:00:00 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
chathura    2790    2743  0 07:46 ?        00:00:01 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
chathura    2793    2670  0 07:46 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
chathura    2895    2532  0 07:46 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
chathura    2902    2895  0 07:46 ?        00:00:01 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
chathura    2911    2532  0 07:46 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
chathura    2912    2532  0 07:46 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
chathura    2926    2532  0 07:46 ?        00:00:00 /usr/libexec/gvfsd
chathura    2934    2532  0 07:46 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
chathura    2937    2532  0 07:46 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
chathura    2971    2532  2 07:46 ?        00:18:43 /usr/bin/gnome-shell
chathura    3004    2971  0 07:46 ?        00:00:04 /usr/libexec/mutter-x11-frames
chathura    3007    2532  0 07:46 ?        00:00:03 /usr/libexec/at-spi2-registryd --use-gnome-session
chathura    3037    2532  0 07:46 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
chathura    3047    2532  0 07:46 ?        00:00:00 /usr/libexec/evolution-source-registry
chathura    3057    2532  0 07:46 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
chathura    3081    2532  0 07:46 ?        00:00:42 /usr/bin/ibus-daemon --panel disable --xim
chathura    3082    2532  0 07:46 ?        00:00:00 /usr/libexec/gsd-a11y-settings
chathura    3083    2532  0 07:46 ?        00:00:00 /usr/libexec/gsd-color
chathura    3086    2532  0 07:46 ?        00:00:00 /usr/libexec/gsd-datetime
chathura    3088    2532  0 07:46 ?        00:00:01 /usr/libexec/gsd-housekeeping
chathura    3089    2532  0 07:46 ?        00:00:00 /usr/libexec/gsd-keyboard
chathura    3090    2532  0 07:46 ?        00:00:01 /usr/libexec/gsd-media-keys
chathura    3093    2532  0 07:46 ?        00:00:01 /usr/libexec/gsd-power
chathura    3095    2532  0 07:46 ?        00:00:00 /usr/libexec/gsd-print-notifications
chathura    3100    2532  0 07:46 ?        00:00:00 /usr/libexec/gsd-rfkill
chathura    3102    2532  0 07:46 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
chathura    3104    2532  0 07:46 ?        00:00:03 /usr/libexec/gsd-sharing
chathura    3111    2532  0 07:46 ?        00:00:00 /usr/libexec/gsd-smartcard
chathura    3116    2532  0 07:46 ?        00:00:00 /usr/libexec/gsd-sound
chathura    3118    2532  0 07:46 ?        00:00:00 /usr/libexec/gsd-wacom
chathura    3122    2532  0 07:46 ?        00:00:01 /usr/libexec/gsd-xsettings
chathura    3138    2532  0 07:46 ?        00:00:01 /usr/libexec/gvfs-udisks2-volume-monitor
chathura    3150    2937  0 07:46 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
chathura    3164    2937  0 07:46 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
chathura    3239    3081  0 07:46 ?        00:00:00 /usr/libexec/ibus-memconf
chathura    3240    3081  0 07:46 ?        00:00:12 /usr/libexec/ibus-extension-gtk3
chathura    3242    2532  0 07:46 ?        00:00:00 /usr/libexec/goa-daemon
chathura    3246    2532  0 07:46 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
chathura    3256    2532  0 07:46 ?        00:00:00 /usr/libexec/ibus-portal
chathura    3282    2532  0 07:46 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
chathura    3298    2532  0 07:46 ?        00:00:01 /usr/libexec/goa-identity-service
chathura    3312    2532  0 07:46 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
chathura    3314    2532  0 07:46 ?        00:00:00 /usr/libexec/gvfsd-metadata
chathura    3325    2532  0 07:46 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
chathura    3334    2532  0 07:46 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
chathura    3335    2532  0 07:46 ?        00:00:00 /usr/libexec/evolution-calendar-factory
chathura    3354    2532  0 07:46 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
chathura    3376    2532  0 07:46 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
chathura    3401    2532  0 07:46 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
chathura    3424    3081  0 07:46 ?        00:00:11 /usr/libexec/ibus-engine-simple
chathura    3430    2532  0 07:46 ?        00:00:00 /usr/libexec/dconf-service
chathura    3482    2926  0 07:46 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.27 /org/gtk/gvfs/exec_spaw/0
chathura    3508    2532  0 07:46 ?        00:00:00 /usr/libexec/gsd-printer
chathura    3762    2532  0 07:47 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gtk
chathura    3771    2937  0 07:47 ?        00:00:01 /usr/bin/update-notifier
root        3829       1  0 07:49 ?        00:00:02 /usr/libexec/fwupd/fwupd
chathura    3932    2532  0 07:56 ?        00:00:00 /usr/libexec/xdg-desktop-portal
chathura    3937    2532  0 07:56 ?        00:00:04 /usr/libexec/xdg-desktop-portal-gnome
chathura    4469    2532  0 08:03 ?        00:00:01 /usr/bin/gnome-calendar --gapplication-service
chathura    7319    2926  0 08:07 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.27 /org/gtk/gvfs/exec_spaw/1
chathura    9006    2532  0 08:23 ?        00:00:00 /usr/libexec/flatpak-session-helper
chathura    9011    2532  0 08:23 ?        00:00:00 server --sh -n /run/user/1000/.flatpak-helper/pkcs11-flatpak-9006 --provider p11-kit-trust.so pkcs11:model=p11-kit-trust?write-protected=yes
chathura   27975    2971  2 12:29 ?        00:12:07 /opt/google/chrome/chrome
chathura   27982   27975  0 12:29 ?        00:00:00 cat
chathura   27983   27975  0 12:29 ?        00:00:00 cat
chathura   27985    2532  0 12:29 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/chathura/.config/google-chrome/Crash Reports --metrics-dir=/home/chathura/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 24.04.3 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=144.0.7559.96 --initial-client-fd=5 --shared-client-connection
chathura   27987    2532  0 12:29 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/chathura/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 24.04.3 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=144.0.7559.96 --initial-client-fd=4 --shared-client-connection
chathura   27993   27975  0 12:29 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=27985 --enable-crash-reporter=8cdd18fd-e1ac-486b-8e6d-f92c7db39211, --change-stack-guard-on-fork=enable
chathura   27994   27975  0 12:29 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=27985 --enable-crash-reporter=8cdd18fd-e1ac-486b-8e6d-f92c7db39211, --change-stack-guard-on-fork=enable
chathura   27996   27994  0 12:29 ?        00:00:04 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=27985 --enable-crash-reporter=8cdd18fd-e1ac-486b-8e6d-f92c7db39211, --change-stack-guard-on-fork=enable
chathura   28021   27993  3 12:29 ?        00:15:54 /opt/google/chrome/chrome --type=gpu-process --ozone-platform=x11 --crashpad-handler-pid=27985 --enable-crash-reporter=8cdd18fd-e1ac-486b-8e6d-f92c7db39211, --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAQAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --metrics-shmem-handle=4,i,6075657688201868797,305192043875202868,262144 --field-trial-handle=3,i,13062384313415614648,16852989079926805870,262144 --variations-seed-version=20260220-170057.878000-production --trace-process-track-uuid=3190708988185955192
chathura   28022   27975  0 12:29 ?        00:02:54 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=27985 --enable-crash-reporter=8cdd18fd-e1ac-486b-8e6d-f92c7db39211, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,11634160110615801804,1444049091492935579,524288 --field-trial-handle=3,i,13062384313415614648,16852989079926805870,262144 --variations-seed-version=20260220-170057.878000-production --trace-process-track-uuid=3190708989122997041
chathura   28035   27996  0 12:29 ?        00:00:05 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --crashpad-handler-pid=27985 --enable-crash-reporter=8cdd18fd-e1ac-486b-8e6d-f92c7db39211, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,14789923908027965822,17109856235613833521,524288 --field-trial-handle=3,i,13062384313415614648,16852989079926805870,262144 --variations-seed-version=20260220-170057.878000-production --trace-process-track-uuid=3190708990060038890
chathura   28088   27996  0 12:29 ?        00:00:49 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=27985 --enable-crash-reporter=8cdd18fd-e1ac-486b-8e6d-f92c7db39211, --extension-process --change-stack-guard-on-fork=enable --ozone-platform=x11 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1771646288344444 --launch-time-ticks=10872706809 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,7866825235520459578,9266678672067516825,2097152 --field-trial-handle=3,i,13062384313415614648,16852989079926805870,262144 --variations-seed-version=20260220-170057.878000-production --trace-process-track-uuid=3190708992871164437
root       29339       2  0 13:00 ?        00:00:00 [irq/190-mei_me]
root       29363       2  0 13:00 ?        00:00:00 [nvidia]
chathura   29722   27996  1 13:02 ?        00:05:49 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=27985 --enable-crash-reporter=8cdd18fd-e1ac-486b-8e6d-f92c7db39211, --change-stack-guard-on-fork=enable --ozone-platform=x11 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=85 --time-ticks-at-unix-epoch=-1771646288344444 --launch-time-ticks=11942144650 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,16457479435237912630,10750045193571307948,2097152 --field-trial-handle=3,i,13062384313415614648,16852989079926805870,262144 --variations-seed-version=20260220-170057.878000-production --trace-process-track-uuid=3190709065960428659
